Time,Temperatur,pH,Temperatur_Membership_Params,PH_Membership_Params,Temperatur_Memberships,PH_Memberships,Takaran_Membership_Params,Takaran_Memberships,Alpha_Predikats,a_values
2024-08-25 08:02,22.0,6.62,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 1.0, 'normal': 0.0, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [21.18, 21.18, 24.71, 26.475], 'sedang': [24.71, 26.475, 30.005, 31.77], 'banyak': [30.005, 33.535, 35.3, 35.3]}","{'sedikit': 0.0, 'sedang': 1.0, 'banyak': 0.0}",{'Rule 5': 1.0},"[{'alpha_level': 1.0, 'a_values': [26.48, 30.0]}]"
2024-08-25 18:02,24.38,6.76,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.31, 'normal': 0.69, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [21.18, 21.18, 24.71, 26.475], 'sedang': [24.71, 26.475, 30.005, 31.77], 'banyak': [30.005, 33.535, 35.3, 35.3]}","{'sedikit': 0.0, 'sedang': 0.3586, 'banyak': 0.3207}","{'Rule 2': 0.69, 'Rule 5': 0.31}","[{'alpha_level': 0.69, 'a_values': [32.44, 35.3]}, {'alpha_level': 0.31, 'a_values': [25.26, 35.3]}]"
2024-08-26 08:01,22.94,6.66,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 1.0, 'normal': 0.0, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [21.18, 21.18, 24.71, 26.475], 'sedang': [24.71, 26.475, 30.005, 31.77], 'banyak': [30.005, 33.535, 35.3, 35.3]}","{'sedikit': 0.0, 'sedang': 1.0, 'banyak': 0.0}",{'Rule 5': 1.0},"[{'alpha_level': 1.0, 'a_values': [26.48, 30.0]}]"
2024-08-26 18:00,25.19,6.79,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.0, 'normal': 1.0, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [21.18, 21.18, 24.71, 26.475], 'sedang': [24.71, 26.475, 30.005, 31.77], 'banyak': [30.005, 33.535, 35.3, 35.3]}","{'sedikit': 0.0, 'sedang': 0.0, 'banyak': 0.9583}",{'Rule 2': 1.0},"[{'alpha_level': 1.0, 'a_values': [33.54, 35.3]}]"
2024-08-27 08:02,22.44,6.63,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 1.0, 'normal': 0.0, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [21.18, 21.18, 24.71, 26.475], 'sedang': [24.71, 26.475, 30.005, 31.77], 'banyak': [30.005, 33.535, 35.3, 35.3]}","{'sedikit': 0.0, 'sedang': 1.0, 'banyak': 0.0}",{'Rule 5': 1.0},"[{'alpha_level': 1.0, 'a_values': [26.48, 30.0]}]"
2024-08-27 18:02,23.63,6.66,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.685, 'normal': 0.315, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [21.18, 21.18, 24.71, 26.475], 'sedang': [24.71, 26.475, 30.005, 31.77], 'banyak': [30.005, 33.535, 35.3, 35.3]}","{'sedikit': 0.0, 'sedang': 1.0, 'banyak': 0.0}","{'Rule 2': 0.315, 'Rule 5': 0.685}","[{'alpha_level': 0.685, 'a_values': [25.92, 30.56]}, {'alpha_level': 0.315, 'a_values': [25.27, 35.3]}]"
2024-08-28 08:03,24.5,6.66,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.25, 'normal': 0.75, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [21.18, 21.18, 24.71, 26.475], 'sedang': [24.71, 26.475, 30.005, 31.77], 'banyak': [30.005, 33.535, 35.3, 35.3]}","{'sedikit': 0.0, 'sedang': 0.1616, 'banyak': 0.4192}","{'Rule 2': 0.75, 'Rule 5': 0.25}","[{'alpha_level': 0.75, 'a_values': [32.65, 35.3]}, {'alpha_level': 0.25, 'a_values': [25.15, 35.3]}]"
2024-08-28 18:04,25.0,6.76,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.0, 'normal': 1.0, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [21.18, 21.18, 24.71, 26.475], 'sedang': [24.71, 26.475, 30.005, 31.77], 'banyak': [30.005, 33.535, 35.3, 35.3]}","{'sedikit': 0.0, 'sedang': 0.0, 'banyak': 0.9583}",{'Rule 2': 1.0},"[{'alpha_level': 1.0, 'a_values': [33.54, 35.3]}]"
2024-08-29 08:01,22.69,6.6,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 1.0, 'normal': 0.0, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [21.18, 21.18, 24.71, 26.475], 'sedang': [24.71, 26.475, 30.005, 31.77], 'banyak': [30.005, 33.535, 35.3, 35.3]}","{'sedikit': 0.0, 'sedang': 1.0, 'banyak': 0.0}",{'Rule 5': 1.0},"[{'alpha_level': 1.0, 'a_values': [26.48, 30.0]}]"
2024-08-29 18:04,24.13,6.68,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.435, 'normal': 0.565, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [21.18, 21.18, 24.71, 26.475], 'sedang': [24.71, 26.475, 30.005, 31.77], 'banyak': [30.005, 33.535, 35.3, 35.3]}","{'sedikit': 0.0, 'sedang': 0.7179, 'banyak': 0.141}","{'Rule 2': 0.565, 'Rule 5': 0.435}","[{'alpha_level': 0.565, 'a_values': [32.0, 35.3]}, {'alpha_level': 0.435, 'a_values': [25.48, 31.0, 31.54, 35.3]}]"
2024-08-30 08:01,22.06,6.56,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 1.0, 'normal': 0.0, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [21.18, 21.18, 24.71, 26.475], 'sedang': [24.71, 26.475, 30.005, 31.77], 'banyak': [30.005, 33.535, 35.3, 35.3]}","{'sedikit': 0.0, 'sedang': 1.0, 'banyak': 0.0}",{'Rule 5': 1.0},"[{'alpha_level': 1.0, 'a_values': [26.48, 30.0]}]"
2024-08-30 18:02,24.19,6.7,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.405, 'normal': 0.595, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [21.18, 21.18, 24.71, 26.475], 'sedang': [24.71, 26.475, 30.005, 31.77], 'banyak': [30.005, 33.535, 35.3, 35.3]}","{'sedikit': 0.0, 'sedang': 0.6368, 'banyak': 0.1816}","{'Rule 2': 0.595, 'Rule 5': 0.405}","[{'alpha_level': 0.595, 'a_values': [32.11, 35.3]}, {'alpha_level': 0.405, 'a_values': [25.43, 31.06, 31.44, 35.3]}]"
2024-08-31 08:02,22.25,6.6,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 1.0, 'normal': 0.0, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [22.38, 22.38, 26.11, 27.975], 'sedang': [26.11, 27.975, 31.705, 33.57], 'banyak': [31.705, 35.435, 37.3, 37.3]}","{'sedikit': 0.0, 'sedang': 1.0, 'banyak': 0.0}",{'Rule 5': 1.0},"[{'alpha_level': 1.0, 'a_values': [27.98, 31.7]}]"
2024-08-31 18:02,24.81,6.74,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.095, 'normal': 0.905, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [22.38, 22.38, 26.11, 27.975], 'sedang': [26.11, 27.975, 31.705, 33.57], 'banyak': [31.705, 35.435, 37.3, 37.3]}","{'sedikit': 0.0, 'sedang': 0.0, 'banyak': 0.724}","{'Rule 2': 0.905, 'Rule 5': 0.095}","[{'alpha_level': 0.905, 'a_values': [35.08, 37.3]}, {'alpha_level': 0.095, 'a_values': [26.29, 37.3]}]"
2024-09-01 08:02,23.13,6.63,"{'rendah': [14.0, 14.0, 23.0, 25.0], 'normal': [23.0, 25.0, 29.0, 31.0], 'tinggi': [29.0, 31.0, 40.0, 40.0]}","{'asam': [4.0, 4.0, 5.0, 6.5], 'netral': [5.0, 6.5, 7.5, 9.0], 'basa': [7.5, 9.0, 14.0, 14.0]}","{'rendah': 0.935, 'normal': 0.065, 'tinggi': 0.0}","{'asam': 0.0, 'netral': 1.0, 'basa': 0.0}","{'sedikit': [22.38, 22.38, 26.11, 27.975], 'sedang': [26.11, 27.975, 31.705, 33.57], 'banyak': [31.705, 35.435, 37.3, 37.3]}","{'sedikit': 0.0, 'sedang': 1.0, 'banyak': 0.0}","{'Rule 2': 0.065, 'Rule 5': 0.935}","[{'alpha_level': 0.935, 'a_values': [27.85, 31.83]}, {'alpha_level': 0.065, 'a_values': [26.23, 37.3]}]"
